Index|Word|Definition|Grouping

5076|Scoff|To Jeer, Laugh At With Contempt And Derision|Verb

5077|Scope|To Perform A Cursory Investigation, As To Scope Out|Verb

5078|Scorn|To Feel Or Display Contempt Or Disdain For Something|Verb

5079|Scotch|To Cut Or Score|Verb

5080|Scoundrel|One Without Honor, A Villain|Noun

5081|Scourge|To Punish Or Criticize Somebody Severely|Noun

5082|Scribble|To Write Or Draw Carelessly And In A Hurry|Verb

5083|Scribe|Person Who Made Copies Of Manuscripts Before Printing|Noun

5084|Scriptural|In Accordance With Sacred Writings|Adjective

5085|Scruple|A Moral  Standard That Inhibits Certain Actions|Noun

5086|Scrupulous|Showing A Strict Regard For What One Considers Right|Adjective

5087|Scrutinize|To Examine Something With Great Care|Verb

5088|Scurrilous|Given To Vulgar Verbal Abuse, Foul-Mouthed|Adjective

5089|Scurvy|A Disease Caused By A Diet Lacking In Vitamin C|Noun

5090|Scuttle|To Sink A Boat Deliberately By Making Openings In The Bottom|Verb

5091|Scythe|A Long, Curved Blade Used For Cutting Grass And Grain|Noun

5092|Séance|Meeting Where A Mystic Tries To Communicate With The Dead|Noun

5093|Sear|To Char The Surface Of Something With A Hot Instrument|Verb

5094|Sebaceous|Of Or Relating To Tallow Or Fat,|Adjective

5095|Secant|A Straight Line That Intersects A Curve At 2 Or More Points|Noun

5096|Secede|To Withdraw Formally From An Alliance|Verb

5097|Seclude|To Shut Off Or Keep Apart, As From Company, Society, Etc|Verb

5098|Seclusion|Solitude|Noun

5099|Secular|Not Specifically Religious|Adjective

5100|Sedate|To Tranquilize By Giving A Sedative, To Induce Sleep|Verb

5101|Sedentary|Not Moving, Relatively Still, Staying In The Vicinity|Adjective

5102|Sediment|Particles That Settle To The Bottom Of A Liquid|Noun

5103|Sedition|Incitement Of Discontent Or Rebellion Against Movement|Noun

5104|Seduce|To Entice Someone To Engage In A Sexual Relationship|Verb

5105|Sedulous|Diligent In Application Or Attention|Adjective

5106|Seer|A Person Who Prophesies Future Events|Noun

5107|Seethe|To Be In A State Of Agitation Or Excitement|Verb

5108|Seignior|A Feudal Lord, Nobleman Who Held His Lands By Feudal Grant|Noun

5109|Seismograph|Instrument For Measuring The Vibrations Of Earthquakes|Noun

5110|Seize|To Deliberately Take Hold Of, To Grab Or Capture|Verb

5111|Semaphore|An Apparatus For Conveying Information By Visual Signals|Noun

5112|Semblance|Likeness, Similarity, The Quality Of Being Similar|Noun

5113|Semiannual|Occurring Twice A Year, Half-Yearly, Biannual|Adjective

5114|Semiconscious|Neither Fully Conscious Nor Unconscious|Adjective

5115|Seminal|Having Possibilities Of Future Development|Adjective

5116|Seminar|A Small Group Of Students Engaged In Study|Noun

5117|Seminary|A Theological School To Train Rabbis, Priests, Or Ministers|Noun

5118|Senile|Decline In Mental Or Physical Health Due To Old Age|Adjective

5119|Sensation|Perception Or Awareness Of Stimuli|Noun

5120|Sensibility|The Ability To Sense, Feel Or Perceive|Noun

5121|Sensorium|The Sensory Part Of The Brain|Noun

5122|Sensory|Pertaining To The Senses|Adjective

5123|Sensual|Inducing Pleasurable And/Or Erotic Sensations|Adjective

5124|Sensuous|Appealing To The Senses, Or To Sensual Gratification|Adjective

5125|Sentence|To Declare A Sentence On A Convicted Person|Verb

5126|Sentient|Conscious Or Aware|Adjective

5127|Sentinel|A Person Or Thing That Watches Or Guards|Noun

5128|Separatist|An Advocate Of Religious Or Political Separation|Adjective

5129|Septennial|Lasting Or Continuing Seven Years|Adjective

5130|Sepulcher|A Tomb, Grave Or Burial Place|Noun

5131|Sepulchral|Serving As A Tomb|Adjective

5132|Sequacious|Following With Smooth Or Logical Regularity|Adjective

5133|Sequence|To Arrange In An Order|Verb

5134|Sequent|That Comes After In Time Or Order, Subsequent|Adjective

5135|Sequester|To Separate From All External Influence|Verb

5136|Sequestrate|To Sequester|Verb

5137|Seraphic|Of Or Relating To A Seraph Or The Seraphim|Adjective

5138|Serendipity|An Aptitude For Making Desirable Discoveries By Accident|Noun

5139|Serene|Calm, Peaceful, Tranquil|Adjective

5140|Sergeant|An Army Officer Above The Rank Of Corporal|Noun

5141|Sergeant-At-Arms|A Person Charged With Keeping Order At A Meeting|Noun

5142|Sergeant-Major|Officer Serving As Chief Administrative Assistant In A Unit|Noun

5143|Serrated|Having A Notched Edge Or Sawlike Teeth|Adjective

5144|Servile|Slavishly Submissive, Fawning|Adjective

5145|Servitude|Slavery Or Bondage Of Any Kind|Noun

5146|Sever|To Cut Free|Verb

5147|Severance|A Breaking Off|Noun

5148|Severely|Harshly|Noun

5149|Sextet|Any Group Or Set Of Six|Noun

5150|Sextuple|Having Six Parts|Adjective

5151|Shackle|A Ring Of Iron Used To Secure The Wrist Or Ankle|Noun

5152|Shambles|Any Scene Of Destruction|Noun

5153|Shambolic|Chaotic, Disorganised|Adjective

5154|Sheer|Transparently Thin|Noun

5155|Shibboleth|A Peculiarity That Distinguishes A Class Of People|Noun

5156|Shiftless|Lazy, Unmotivated|Adjective

5157|Shoal|A Place Where A Body Of Water Is Shallow|Noun

5158|Shrewd|Showing Clever Resourcefulness In Practical Matters|Adjective

5159|Shriek|To Utter A Loud, Sharp, Shrill Sound Or Cry|Verb

5160|Shrinkage|The Act Of Shrinking|Noun

5161|Shrivel|To Collapse Inward, To Crumble|Verb

5162|Shroud|A Cloth In Which A Corpse Is Wrapped For Burial|Noun

5163|Shunt|To Turn Away Or Aside|Verb

5164|Sibilant|"Characterized By A Hissing Sound Such As The ""S"" In Sash"|Adjective

5165|Sibilate|To Hiss|Verb

5166|Sic|Written Parenthetically To Show Something Quoted Verbatim|Verb

5167|Sidelong|Directed To The Side, Sideways|Adjective

5168|Sidereal|Determined By Or From The Stars|Adjective

5169|Siege|To Attack A Fortified Place To Isolate It From Help|Noun

5170|Signatory|Having Signed A Document|Adjective

5171|Signification|An Exact Meaning Or Sense|Noun

5172|Simile|Figure Of Speech In Which 2 Unlike Things Are Compared|Noun

5173|Similitude|Likeness, Resemblance|Noun

5174|Simulate|To Model Or Replicate The Appearance Or Properties Of|Verb

5175|Simultaneous|Occurring Or Transpiring At The Same Time|Adjective

5176|Sinecure|A Job That Requires No Work But Still Gives An Ample Payment|Noun

5177|Singe|To Burn Slightly|Verb

5178|Sinister|Threatening Or Portending Evil, Harm Or Trouble|Adjective

5179|Sinuosity|A Curve, Bend Or Turn|Noun

5180|Sinuous|Having Many Curves, Bends Or Turns|Adjective

5181|Sinus|A  Cavity In Any Organ Or Tissue, I.E. The Nasal Passage|Noun

5182|Sirocco|A Hot, Dry Wind Blowing From N. Africa Into Southern Europe|Noun

5183|Skeptic|A Person Who Questions The Validity Of Something|Noun

5184|Skeptical|Having, Or Expressing Doubt, Questioning|Adjective

5185|Skiff|A Small Flat-Bottomed Open Boat|Noun

5186|Skirmish|To Engage In A Minor Battle Or Dispute|Verb

5187|Skulk|To Move In A Stealthy Manner|Verb

5188|Slake|To Allay Thirst, Desire, Etc, By Satisfying It|Verb

5189|Slander|Defamation|Noun

5190|Slapdash|Done Hastily, Haphazard, Careless|Adjective

5191|Sleazy|Marked By Low Quality, Inferior, Inadequate|Adjective

5192|Sleight|Cunning, Craft, Artful Practice|Noun

5193|Slight|Very Small In Size, Degree, Amount, Or Importance|Verb

5194|Slipshod|Done Poorly Or Too Quickly, Slapdash|Adjective

5195|Sloth|Laziness, Slowness In The Mindset|Noun

5196|Slough|To Shed (Skin)|Verb

5197|Slovenly|Having An Untidy Appearance, Unkempt|Adjective

5198|Sluggard|A Person Who Is Lazy, Stupid, Or Idle By Habit|Noun

5199|Smelt|To Fuse Or Melt Ore In Order To Separate The Metal Contained|Verb

5200|Smorgasbord|A Buffet|Noun

5201|Smug|Irritatingly Pleased With Oneself, Self-Satisfied|Adjective

5202|Snide|Derogatory In A Nasty, Insinuating Manner|Adjective

5203|Sobriety|The Quality Or State Of Being Sober|Noun

5204|Sociable|Inclined To Associate With Or Be In The Company Of Others|Adjective

5205|Socialist|Of, Promoting, Practicing, Or Characteristic Of Socialism|Adjective

5206|Sodden|Soaked With Liquid Or Moisture|Adjective

5207|Sojourn|To Reside Somewhere Temporarily|Verb

5208|Sol|The Fifth Step In The Solfège Scale Of C|Noun

5209|Solace|Comfort In Sorrow, Misfortune Or Trouble|Noun

5210|Solder|An Alloy Applied Between Metal Objects To Unite Them|Noun

5211|Solecism|A Nonstandard Or Ungrammatical Usage|Noun

5212|Solemn|Deeply Serious And Somber|Adjective

5213|Solicit|To Persistently Try To Get Something Or Bring About An Event|Verb

5214|Solicitude|Anxiety Or Concern|Noun

5215|Soliloquy|Speech By A Person Talking To Himself, Disregarding Others|Noun

5216|Solipsistic|Of The Theory That Only The Self Can Be Proved To Exist|Adjective

5217|Solstice|Either The Shortest Or Longest Day Of The Year|Noun

5218|Solubility|The Quality Or Property Of Being Soluble|Noun

5219|Soluble|Capable Of Being Dissolved Or Liquefied|Noun

5220|Solvent|A Substance That Dissolves Another To Form A Solution|Noun

5221|Somatic|Part Of, Or Relating To The Body Of An Organism|Adjective

5222|Somber|Dark And Dull In Colour Or Things In Respect To Colour|Adjective

5223|Somnambulist|A Person Who Walks About In His Or Her Sleep|Noun

5224|Somniferous|Causing Or Inducing Sleep, Normally With Harmful Overtones|Adjective

5225|Somnolent|Drowsy Or Sleepy|Adjective

5226|Sonata|Musical Piece For 1 Or More Instruments In 3-4 Movements|Noun

5227|Sonnet|A Fixed Verse Form Of 14 Lines Usually In Iambic Pentameter|Noun

5228|Sonorous|Capable Of Giving Out A Deep, Resonant Sound|Adjective

5229|Soothsayer|A Person Who Professes Or Foretell Events|Noun

5230|Sophism|Any False Argument|Noun

5231|Sophistical|Fallacious|Adjective

5232|Sophisticate|Make Worldly-Wise|Verb

5233|Sophistry|A Superficially Plausible, But False Method Of Reasoning|Noun

5234|Sophomoric|Of, Relating To, Or Characteristic Of A Sophomore|Adjective

5235|Soporific|Causing Or Tending To Cause Sleep|Adjective

5236|Soprano|The Highest Singing Voice In Women And Boys|Noun

5237|Sorcery|Magic Done With The Help Of Evil Spirits|Noun

5238|Sordid|Dirty Or Squalid|Adjective

5239|Souvenir|An Item To Remember An Event Or Location|Noun

5240|Sovereign|A Monarch|Noun

5241|Sparse|Having Widely Spaced Intervals|Adjective

5242|Spartan|Austere, Frugal Or Characterized By Self-Denial|Adjective

5243|Spasmodic|Sudden But Brief|Adjective

5244|Spate|A Sudden Outpouring|Noun

5245|Spawn|To Produce Or Deposit (Eggs) In Water|Verb

5246|Specimen|An Individual Instance That Represents A Class, An Example|Noun

5247|Specious|Apparently Good Or Right Though Lacking Real Merit|Adjective

5248|Speckled|Marked With Dots|Adjective

5249|Spectator|One Who Observes An Event, An Observer|Noun

5250|Specter|A Ghostly Apparition|Noun

5251|Spectrum|A Broad Range Of Varied But Related Ideas Or Objects|Noun

5252|Speculate|To Think, Meditate Or Reflect On A Subject|Verb

5253|Speculator|One Who Speculates|Noun

5254|Spelunker|One Who Explores Caves, One Who Spelunks|Noun

5255|Spendthrift|A Person Who Spends Money Extravagantly Or Wastefully|Noun

5256|Sphericity|The Quality Of Being Spherical|Noun

5257|Spheroid|A Solid Geometrical Figure Similar In Shape To A Sphere|Noun

5258|Spherometer|An Instrument For Measuring The Curvature Of Surfaces|Noun

5259|Spinous|Thorny, As A Plant|Adjective

5260|Spinster|A Woman Still Unmarried Beyond The Usual Age Of Marriage|Noun

5261|Splenetic|Irritable|Adjective

5262|Spontaneous|Coming From Natural Impulse|Adjective

5263|Sporadic|Appearing Or Happening At Irregular Intervals|Adjective

5264|Sprightly|Animated, Vivacious, Or Gay, Lively|Adjective

5265|Spurious|Not Genuine|Adjective

5266|Spurn|To Reject Disdainfully, Contemn, Scorn|Verb

5267|Squabble|To Participate In A Minor Fight Or Argument|Verb

5268|Squalid|Foul And Repulsive From Lack Of Care Or Cleanliness|Adjective

5269|Squalor|Filth And Misery|Noun

5270|Squander|To Waste, Lavish, Splurge|Verb

5271|Squatter|One Who Occupies A Building Or Land Without Permission|Noun

5272|Squeamish|Easily Bothered Or Upset, Tending To Be Nauseous Or Nervous|Adjective

5273|Staccato|Shortened And Detached When Played Or Sung|Adjective

5274|Stagnant|Lacking Freshness, Motion, Progress, Or Change|Adjective

5275|Stagnate|To Cease Motion, Activity, Or Progress|Verb

5276|Stagnation|Inactivity|Noun

5277|Stagy|Theatrical|Adjective

5278|Staid|Of Settled Or Sedate Character, Not Flighty|Adjective

5279|Stallion|An Uncastrated Male Horse|Noun

5280|Stalwart|Firmly Built|Adjective

5281|Stamina|The Energy For Continuing To Do Something For A Long Time|Noun

5282|Stanch|To Stop The Flow Of|Verb

5283|Stanchion|An Upright Bar Or Beam Used As Support In A Window Or Stall|Noun

5284|Stanza|A Unit Of A Poem, Equivalent To A Verse|Noun

5285|Stark|Sheer, Utter, Downright Or Complete|Adjective

5286|Statecraft|The Art Of Government And Diplomacy|Noun

5287|Stately|Of People: Regal, Dignified, Worthy Of Respect|Adjective

5288|Static|Characterised By A Fixed Or Stationary Position|Adjective

5289|Statics|Branch Of Mechanics Dealing W/ Forces In Static Equilibrium|Noun

5290|Stationary|Standing Still, Not Moving|Adjective

5291|Statistician|A Person Who Compiles, Interprets, Or Studies Statistics|Noun

5292|Statuesque|Like A Statue|Adjective

5293|Statuette|A Small Statue|Noun

5294|Stature|A Person Or Animal'S Natural Height When Standing Upright|Noun

5295|Statute|Written Law, As Laid Down By The Legislature|Noun

5296|Staunch|To Stop The Flow Of (Blood)|Verb

5297|Steadfast|Fixed Or Unchanging, Steady|Adjective

5298|Stealth|Secret Or Clandestine Procedure|Noun

5299|Stellar|Of, Pertaining To, Or Characteristic Of Stars|Adjective

5300|Stentorian|Very Loud Or Powerful In Sound|Adjective

5301|Steppe|The Grasslands Of Eastern Europe And Asia|Noun

5302|Stereotype|A Simplified And Standardised Conception Held By A Group|Noun

5303|Sterling|(Of Silver) Having The Standard Fineness 0 925|Adjective

5304|Stevedore|Firm Or Individual Engaged In Loading Or Unloading A Vessel|Noun

5305|Stifle|To Quell, Crush Or End By Force|Verb

5306|Stigma|A Mark Of Disgrace Or Infamy|Noun

5307|Stigmatize|To Characterize As Disgraceful, To Mark With A Stigma|Verb

5308|Stiletto|A Short Dagger With A Thick Blade|Noun

5309|Stimulate|To Encourage Into Action|Verb

5310|Stimulus|Anything That May Have An Impact Or Influence On A System|Noun

5311|Stingy|Reluctant To Give Or Spend|Adjective

5312|Stint|A Period Of Time Spent Doing Something|Noun

5313|Stipend|A Fixed Payment, Generally Small|Noun

5314|Stipulate|To Require (Something) As A Condition Of A Contract|Verb

5315|Stoic|Unaffected, Indifferent, Restrained|Adjective

5316|Stoicism|(School Of Philosophy) Logic Reflects Cosmic Reason|Noun

5317|Stoke|To Stir Up And Feed, Especially, A Fire Or Furnace|Verb

5318|Stolid|Unemotional|Adjective

5319|Strait|A Narrow Passage Of Water Connecting 2 Large Bodies Of Water|Noun

5320|Strait-Laced|Excessively Strict In Conduct Or Morality|Adjective

5321|Stratagem|A Deceptive Tactic Designed To Gain The Upper Hand|Noun

5322|Stratum|One Of Several Parallel Horizontal Layers Of Materia|Noun

5323|Streamlet|A Small Stream|Noun

5324|Strenuous|Characterised By Vigorous Exertion|Adjective

5325|Striated|Having Parallel Lines Or Grooves On The Surface|Adjective

5326|Stricture|A Rule Restricting Behaviour Or Action|Noun

5327|Stridency|The Quality Of Being Loud Or Making A Harsh Sound|Noun

5328|Strident|Loud, Shrill, Piercing, High-Pitched, Rough-Sounding|Adjective

5329|Stringent|Rigorously Binding Or Exacting|Adjective

5330|Stripling|A Youth Just Passing From Boyhood To Manhood|Noun

5331|Strut|To Walk With A Vain, Pompous Bearing|Verb

5332|Studious|Given To Thought, Contemplative|Adjective

5333|Stultify|To Make, Or Cause To Appear, Foolish Or Ridiculous|Verb

5334|Stupefy|To Dull Capacity To Think, Thereby Reducing Responsiveness|Verb

5335|Stupendous|Astonishingly Great Or Large, Huge, Enormous|Adjective

5336|Stupor|A State Of Reduced Consciousness Or Sensibility|Noun

5337|Stymie|To Hinder, Block Or Thwart|Verb

5338|Suasion|The Act Of Urging Or Influencing, Persuasion|Noun

5339|Suave|Charming, Confident And Elegant|Adjective

5340|Subacid|Somewhat Acidic|Adjective

5341|Subaquatic|Located Or Living Under Water, Submarine|Adjective

5342|Subconscious|The Mental Processes Of Which The Individual Is Not Aware|Noun

5343|Subdue|To Overcome, Quieten, Or Bring Under Control|Verb

5344|Subjacent|Lying Beneath Or At A Lower Level, Underlying|Adjective

5345|Subjection|Bringing Something Under The Control Of Something Else|Noun

5346|Subjugate|To Forcibly Impose Obedience Or Servitude|Verb

5347|Sublimate|To Change From A Solid To A Gas Without Becoming Liquid|Verb

5348|Sublime|Elevated Or Lofty In Thought|Adjective

5349|Subliminal|Existing Below The Threshold Of Consciousness|Adjective

5350|Sublingual|Beneath The Tongue|Adjective

5351|Submarine|A Vessel That Can Be Submerged And Navigated Underwater|Noun

5352|Submerge|To Sink Below The Surface Of Water Or Another Medium|Verb

5353|Submersible|Able To Be Put Under Water|Adjective

5354|Submersion|The Act Of Sinking Until Completely Covered With Water|Noun

5355|Submission|The Act Of Yielding To The Will Or Authority Of Another|Noun

5356|Submissive|Meekly Obedient Or Passive|Adjective

5357|Submittal|The Act Of Submitting|Noun

5358|Subordinate|To Make Subservient|Verb

5359|Subpoena|The Summoning Of Witnesses Or Evidence Before A Court|Noun

5360|Subsequent|Following In Time, Coming After Something Else At Any Time|Adjective

5361|Subservience|A Subordinate Place Or Function|Noun

5362|Subservient|Acting In An Inferior Capacity|Adjective

5363|Subside|To Sink Or Fall To The Bottom, To Settle, As Lees|Verb

5364|Subsist|To Survive On A Minimum Of Resources|Verb

5365|Subsistence|Real Being, Existence|Noun

5366|Substantiate|To Establish By Proof Or Competent Evidence|Verb

5367|Substantive|Of The Essence Or Essential Element Of A Thing|Adjective

5368|Subtend|To Extend Or Stretch Underneath Or Opposite Something|Verb

5369|Subterfuge|An Indirect Or Deceptive Device Or Stratagem|Noun

5370|Subterranean|Below Ground, Under The Earth, Underground|Adjective

5371|Subtext|The Underlying Or Implicit Meaning|Noun

5372|Subtle|Fine Or Delicate In Meaning Or Intent|Adjective

5373|Subtrahend|A Number Or Quantity To Be Subtracted From Another|Noun

5374|Subversion|The Act Of Subverting Or The Condition Of Being Overthrown|Noun

5375|Subversive|Intending To Overturn Or Undermine A Government Or Authority|Adjective

5376|Subvert|To Overturn From The Foundation, To Overthrow|Verb

5377|Successive|Following In An Uninterrupted Sequence|Adjective

5378|Successor|Person That Immediately Follows Another In Holding A Title|Noun

5379|Succinct|Brief And To The Point|Adjective

5380|Succor|Help, Relief, Aid|Noun

5381|Succulent|Juicy Or Lush|Adjective

5382|Succumb|To Yield To An Overpowering Force Or Overwhelming Desire|Verb

5383|Sufferance|Endurance, Especially Patiently, Of Pain Or Adversity|Noun

5384|Suffice|To Be Enough Or Adequate|Verb

5385|Suffrage|The Right To Vote, Especially In A Political Election|Noun

5386|Suffragist|Advocate Of Granting The Right To Vote, Especially To Women|Noun

5387|Suffuse|To Spread Through Or Over Something, Especially As A Liquid|Verb

5388|Suggestible|Susceptible To Influence By Suggestion|Adjective

5389|Sully|To Soil, Stain Or Tarnish|Verb

5390|Sumptuous|Magnificent And Splendid, Suggesting Great Expense|Adjective

5391|Sunder|To Separate|Verb

5392|Superabundance|More Than Sufficient, Excessive|Noun

5393|Superadd|To Add On Top Of A Previous Addition|Verb

5394|Superannuate|To Allow To Retire From Office On A Pension Because Of Age|Verb

5395|Supercilious|Haughtily Disdainful Or Contemptuous|Adjective

5396|Superficial|Shallow, Lacking Substance|Adjective

5397|Superfluity|The Quality Or State Of Being In Excess|Noun

5398|Superfluous|In Excess Of What Is Required Or Sufficient|Adjective

5399|Superintend|To Oversee The Work Of Others, To Supervise|Verb

5400|Superlative|Exceptionally Good, Of The Highest Quality, Superb|Adjective

5401|Supernumerary|Extra, Beyond The Standard Or Prescribed Amount|Adjective

5402|Supersede|To Replace In Power, Effectiveness, Use, Etc|Verb

5403|Supervene|To Take Place Or Occur As Something Additional Or Extraneous|Verb

5404|Supine|Lying On The Back, Face Or Front Upward|Adjective

5405|Supplant|To Take The Place Of, To Replace, To Supersede|Verb

5406|Supple|Bending Readily Without Breaking Or Becoming Deformed|Adjective

5407|Supplementary|Additional, Added To Supply What Is Wanted|Adjective

5408|Suppliant|A Petitioner|Noun

5409|Supplicant|Begging, Pleading, Supplicating|Adjective

5410|Supplicate|Humble Oneself Before Another In Making A Request, To Beg|Verb

5411|Supplication|Humble Prayer, Entreaty Or Petition|Noun

5412|Supposition|Something That Is Assumed|Noun

5413|Suppress|To Hold In Place, To Keep Low, To Prevent Publication|Verb

5414|Suppressible|Capable Of Being Done Away With|Adjective

5415|Suppression|The Act Or Instance Of Repressing|Noun

5416|Supramundane|Situated Above The World Or Above Our System, Celestial|Adjective

5417|Surcharge|An Additional Charge, Tax Or Cost|Noun

5418|Surety|Security Against Loss Or Damage, Guarantee|Noun

5419|Surfeit|Excessive Amount|Noun

5420|Surfeit|An Excessive Amount Of Something|Noun

5421|Surly|Lordly, Arrogant, Supercilious|Adjective

5422|Surmise|A Conclusion Drawn On Limited Evidence Or Intuitive Feeling|Verb

5423|Surmount|To Get Over, To Overcome|Verb

5424|Surpass|Exceed; Be Greater Than|Verb

5425|Surreptitious|Obtained Or Done By Stealth|Adjective

5426|Surrogate|To Substitute Something With Something Else|Verb

5427|Surround|To Encircle|Verb

5428|Surveillance|A Watch Kept Over A Person|Noun

5429|Surveyor|A Person Whose Occupation Is To Survey Land Or Buildings|Noun

5430|Susceptibility|Vulnerability|Noun

5431|Susceptible|Likely To Be Affected By Something|Adjective

5432|Suspect|To Suppose (Something) To Be True Without Evidence|Verb

5433|Suspense|A State Of Uncertainty Or Excitement In Awaiting An Outcome|Noun

5434|Suspicious|Questionable|Adjective

5435|Sustenance|Something That Provides Support Or Nourishment|Noun

5436|Svelte|Attractively Thin, Gracefully Slender|Adjective

5437|Swarthy|Tawny, Dusky, Dark|Adjective

5438|Swathe|To Bind With A Swathe, Band, Bandage, Or Rollers|Verb

5439|Sybarite|A Person Devoted To Luxury And Pleasure|Noun

5440|Sycophant|Self-Seeking, Servile Flatterer|Noun

5441|Syllabic|Of, Relating To, Or Consisting Of A Syllable Or Syllables|Adjective

5442|Syllabication|The Act Of Dividing Something Into Syllables|Noun

5443|Syllable|Segment Of Speech: A Vowel Sound Or Syllabic Consonant|Noun

5444|Syllabus|An Outline Of The Contents Of A Curriculum|Noun

5445|Sylph|A Wood Nymph|Noun

5446|Sylvan|Pertaining To The Forest, Or Woodlands|Adjective

5447|Symbiosis|Any Interdependent Relationship Between Two Things|Noun

5448|Sympathetic|Of, Related To, Showing, Or Characterized By Sympathy|Adjective

5449|Symphonic|Characteristic Of A Symphony Orchestra|Adjective

5450|Symphony|An Elaborate Instrumental Composition, Written For Orchestra|Noun

5451|Symptomatic|(Of A Disease) Showing Symptoms|Adjective

5452|Synaeresis|The Contraction Of Two Syllables Or Two Vowels Into One|Noun

5453|Synchronism|Coincidence In Time|Noun

5454|Syndicate|A Group Of People Making A Joint Effort To Undertake A Duty|Noun

5455|Syndrome|A Recognizable Pattern Of Signs, Symptoms And/Or Behaviours|Noun

5456|Synergy|Elements That Make An Effect Greater Than The Sum Of Parts|Noun

5457|Synod|An Ecclesiastic Council To Consult On Church Matters|Noun

5458|Synonym|A Word Having The Same Meaning As Another In The Language|Noun

5459|Synopsis|A Brief Summary Of The Major Points Of A Written Work|Noun

5460|Syntax|A System Or Orderly Arrangement|Noun

5461|Synthetic|Artificial|Adjective

5462|Systematic|Carried Out Using A Planned, Ordered Procedure|Adjective

5463|Systemic|Pertaining To Or Affecting A Whole System|Adjective

5464|Tableau|A Picturesque Grouping Of Persons Or Objects|Noun

5465|Tacit|Done Or Made In Silence, Implied, But Not Expressed|Adjective

5466|Taciturn|Inclined To Silence|Adjective

5467|Tack|A Short Nail With A Flat, Broad Head|Noun

5468|Tact|A Keen Sense Of What To Say Or Do To Avoid Giving Offence|Noun

5469|Tactician|A Person Skilled In The Planning And Execution Of Tactics|Noun

5470|Tactics|The Art Of Implementing Means To Achieve Immediate Goals|Noun

5471|Tactile|Tangible|Adjective

5472|Talisman|An Object Supposed To Possess Occult Powers, Worn As A Charm|Noun

5473|Tangent|Touching A Curve At A Single Point But Not Crossing It|Adjective

5474|Tangential|Digressive Or Divergent From The Topic Of Discussion|Adjective

5475|Tangible|Capable Of Being Touched|Adjective

5476|Tannery|A Place Where People Tan Hides To Make Leather|Noun

5477|Tantalize|To Tease By Offering Something But Keeping It Out Of Reach|Verb

5478|Tantamount|To Amount To As Much, To Be Equivalent|Verb

5479|Tapestry|Fabric On Which A Picture Is Embroidered, For Wall Hangings|Noun

5480|Tarantula|Any Large, Hair Spider Of The Family Theraphosidae|Noun

5481|Tardy|Late, Overdue Or Delayed|Adjective

5482|Tarnish|To Oxidize Or Discolor Due To Oxidation|Verb

5483|Taunt|To Goad (A Person) Into Responding, Often Aggressively|Verb

5484|Taut|Tight, Under Tension, As In A Rope Or Bow String|Adjective

5485|Tautological|Of, Relating To, Or Using Redundant Language|Adjective

5486|Tautology|Redundant Use Of Words|Noun

5487|Tawdry|Gaudy|Adjective

5488|Taxation|The Act Of Imposing Taxes And The Fact Of Being Taxed|Noun

5489|Taxidermy|The Art Of Stuffing The Skins Of Dead Animals To Be Lifelike|Noun

5490|Technic|Technique|Adjective

5491|Technicality|A Petty Point Coming From A Strict Interpretation Of Details|Noun

5492|Technography|Historical Study Of Art And Science In Relation To Geography|Noun

5493|Technology|A Method That Applies Technical Knowledge Or Tools|Noun

5494|Tedious|Boring, Monotonous, Time Consuming, Wearisome|Adjective

5495|Tedium|The Quality Or State Of Being Wearisome|Noun

5496|Teem|To Be Stocked To Overflowing|Verb

5497|Telepathy|The Capability To Communicate Directly By Psychic Means|Noun

5498|Telephony|Sound Transmission Via The Electromagnetic Spectrum|Noun

5499|Telltale|A Person Who Heedlessly Reveals Private Matters|Adjective

5500|Temerity|Reckless Boldness|Noun

5501|Temper|To Moderate Or Control|Verb

5502|Temperate|Moderate Or Self-Restrained|Adjective

5503|Temporal|Pertaining To Time|Adjective

5504|Temporize|To Be Indecisive Or Evasive To Gain Time|Verb

5505|Tempt|To Entice To Do Something Often Regarded As Unwise Or Wrong|Verb

5506|Tempter|Someone Or Something That Tempts, Especially To Evil|Noun

5507|Tenable|Capable Of Being Maintained Or Justified, Well-Founded|Adjective

5508|Tenacity|The Quality Or Property Of Being Persistent Or Stubborn|Noun

5509|Tenant|A Person That Rents Or Occupies Land|Noun

5510|Tendency|A Likelihood Of Behaving In A Particular Way|Noun

5511|Tendentious|Having A Bias Or Purpose|Adjective

5512|Tenet|Any Principle Held As True By Members Of A Group|Noun

